Datum;17.07.26;18.07.26;19.07.26;20.07.26;21.07.26;22.07.26;23.07.26;24.07.26;25.07.26;26.07.26;27.07.26;28.07.26;29.07.26;30.07.26;31.07.26
Gelände-Schlüssel 27€;;7;5;5;;9;2;5;5;7;6;3;4;2;2
Audiotraining 17€;;2;;;;1;1;;1;;;;1;;
Videoreihe 27€;;2;1;1;;1;1;;;1;1;;2;1;
Upsell Gelände s.m. 99€;;;1;;;;;;;;2;;;;
Upsell Kopfkino 97€;;;;;;;;;;;1;;;;
Upsell Handarbeit 197€;;;;;;;;;;;;;;;
Upsell Offenstallplaner 47€;;;;;;;;;;;;;;;
Bruttoumsatz;;277,00;261,00;162,00;;287,00;98,00;135,00;152,00;216,00;484,00;81,00;179,00;81,00;54,00
Verdienst;;223,19;214,23;138,74;;243,16;78,93;107,62;121,02;178,11;391,58;64,83;143,87;65,48;42,99
Gesamtumsatz organisch;;;27,00;27,00;81,00;81,00;27,00;27,00;27,00;54,00;27,00;;27,00;27,00;
Adspend;57,41;111,13;84,61;85,87;83,95;104,02;88,83;28,15;58,11;80,68;89,49;91,78;79,40;163,15;57,97
ROAS;0,00;2,49;3,08;1,89;0,00;2,76;1,10;4,80;2,62;2,68;5,41;0,88;2,25;0,50;0,93
Warenkorb brutto;;39,57;52,20;32,40;;31,89;49,00;27,00;30,40;30,86;80,67;27,00;44,75;40,50;27,00
Einkaufspreis (CPA);;15,88;16,92;17,17;;11,56;44,42;5,63;11,62;11,53;14,92;30,59;19,85;81,58;28,98
Gewinn;-57,41;112,06;129,62;52,87;-83,95;139,14;-9,90;79,47;62,91;97,43;302,09;-26,95;64,47;-97,67;-14,98
Breakeven (CPA);;31,88;42,85;27,75;;27,02;39,47;21,52;24,20;25,44;65,26;21,61;35,97;32,74;21,49
Salespage Besucher;72;77;48;61;57;;;;;;;;;;
Salespage Conversion;0,00%;9,09%;10,42%;8,20%;0,00%;;;;;;;;;;
  (Kontrolle: Meta LPV);28;34;37;40;39;84;82;72;141;265;235;284;237;156;27
