Datum;30.07.26;31.07.26;01.08.26;02.08.26;03.08.26;04.08.26;05.08.26;06.08.26;07.08.26;08.08.26;09.08.26;10.08.26;11.08.26;12.08.26;13.08.26
Gelände-Schlüssel 27€;2;2;5;3;3;3;3;3;3;1;3;;3;;
Audiotraining 17€;;;;;;1;;;;;;;;;
Videoreihe 27€;1;;;;;2;1;1;;;;;1;;
Upsell Gelände s.m. 99€;;;;1;;;;;;;;;;;
Upsell Kopfkino 97€;;;;;;;;;;;;;;;
Upsell Handarbeit 197€;;;;;;;;;;;;;;;
Upsell Offenstallplaner 47€;;;;;;;;;;;;;;;
Bruttoumsatz;81,00;54,00;135,00;180,00;81,00;152,00;108,00;108,00;81,00;27,00;81,00;;108,00;;
Verdienst;65,48;42,99;107,62;164,83;64,83;122,64;86,36;90,67;65,17;21,49;68,92;;90,48;;
Gesamtumsatz organisch;27,00;;27,00;;;;54,00;27,00;;27,00;;;27,00;27,00;
Adspend;163,32;122,84;48,79;72,56;55,77;56,75;48,66;48,63;48,58;45,15;57,65;48,38;46,16;43,25;17,60
ROAS;0,50;0,44;2,77;2,48;1,45;2,68;2,22;2,22;1,67;0,60;1,41;0,00;2,34;0,00;0,00
Warenkorb brutto;40,50;27,00;27,00;60,00;27,00;50,67;36,00;36,00;27,00;27,00;27,00;;36,00;;
Einkaufspreis (CPA);81,66;61,42;9,76;24,19;18,59;18,92;16,22;16,21;16,19;45,15;19,22;;15,39;;
Gewinn;-97,84;-79,85;58,83;92,27;9,06;65,89;37,70;42,04;16,59;-23,66;11,27;-48,38;44,32;-43,25;-17,60
Breakeven (CPA);32,74;21,49;21,52;54,94;21,61;40,88;28,79;30,22;21,72;21,49;22,97;;30,16;;
Salespage Besucher;232;270;218;283;197;232;171;179;182;140;;;;;
Salespage Conversion;0,86%;0,74%;2,29%;1,06%;1,52%;1,29%;1,75%;1,68%;1,65%;0,71%;;;;;
  (Kontrolle: Meta LPV);156;194;137;175;120;129;110;111;105;93;108;94;85;88;28
