Datum;20.07.26;21.07.26;22.07.26;23.07.26;24.07.26;25.07.26;26.07.26;27.07.26;28.07.26;29.07.26;30.07.26;31.07.26;01.08.26;02.08.26;03.08.26
Gelände-Schlüssel 27€;5;;9;2;5;5;7;6;3;4;2;2;5;3;1
Audiotraining 17€;;;1;1;;1;;;;1;;;;;
Videoreihe 27€;1;;1;1;;;1;1;;2;1;;;;
Upsell Gelände s.m. 99€;;;;;;;;2;;;;;;1;
Upsell Kopfkino 97€;;;;;;;;1;;;;;;;
Upsell Handarbeit 197€;;;;;;;;;;;;;;;
Upsell Offenstallplaner 47€;;;;;;;;;;;;;;;
Bruttoumsatz;162,00;;287,00;98,00;135,00;152,00;216,00;484,00;81,00;179,00;81,00;54,00;135,00;180,00;27,00
Verdienst;138,74;;243,16;78,93;107,62;121,02;178,11;391,58;64,83;143,87;65,48;42,99;107,62;164,83;21,49
Gesamtumsatz organisch;27,00;81,00;81,00;27,00;27,00;27,00;54,00;27,00;;27,00;27,00;;27,00;;
Adspend;85,87;83,95;104,02;88,83;28,15;58,11;80,68;89,49;91,78;79,40;163,32;122,84;48,79;72,54;32,11
ROAS;1,89;0,00;2,76;1,10;4,80;2,62;2,68;5,41;0,88;2,25;0,50;0,44;2,77;2,48;0,84
Warenkorb brutto;32,40;;31,89;49,00;27,00;30,40;30,86;80,67;27,00;44,75;40,50;27,00;27,00;60,00;27,00
Einkaufspreis (CPA);17,17;;11,56;44,42;5,63;11,62;11,53;14,92;30,59;19,85;81,66;61,42;9,76;24,18;32,11
Gewinn;52,87;-83,95;139,14;-9,90;79,47;62,91;97,43;302,09;-26,95;64,47;-97,84;-79,85;58,83;92,29;-10,62
Breakeven (CPA);27,75;;27,02;39,47;21,52;24,20;25,44;65,26;21,61;35,97;32,74;21,49;21,52;54,94;21,49
Salespage Besucher;61;57;;;;;;;;;;;;;
Salespage Conversion;8,20%;0,00%;;;;;;;;;;;;;
  (Kontrolle: Meta LPV);40;39;84;82;72;141;265;235;284;237;156;194;137;175;64
