Datum;11.09.26;12.09.26;13.09.26;14.09.26;15.09.26;16.09.26;17.09.26;18.09.26;19.09.26;20.09.26;21.09.26;22.09.26;23.09.26;24.09.26;25.09.26
Gelände-Schlüssel 27€;1;2;2;2;1;1;;1;1;1;;3;;2;
Audiotraining 17€;1;;;;;1;;;;;;;;;
Videoreihe 27€;;1;;1;;1;;;;;;1;;;
Upsell Gelände s.m. 99€;;;;;;;;;;;;;;;
Upsell Kopfkino 97€;;;;;;;;;;;;;;;
Upsell Handarbeit 197€;;;;;;;;;;;;;;;
Upsell Offenstallplaner 47€;;;;;;;;;;;;;;;
Bruttoumsatz;44,00;81,00;54,00;81,00;27,00;71,00;;27,00;27,00;27,00;;108,00;;54,00;
Verdienst;35,27;64,87;47,30;64,87;21,49;57,16;;21,49;21,84;21,49;;86,52;;43,14;
Gesamtumsatz organisch;;;;71,00;;98,00;;27,00;;27,00;27,00;;;;
Adspend;24,85;20,91;42,04;32,55;35,71;52,47;53,14;43,18;44,74;30,61;23,76;34,92;38,46;44,65;6,79
ROAS;1,77;3,87;1,28;2,49;0,76;1,35;0,00;0,63;0,60;0,88;0,00;3,09;0,00;1,21;0,00
Warenkorb brutto;44,00;40,50;27,00;40,50;27,00;71,00;;27,00;27,00;27,00;;36,00;;27,00;
Einkaufspreis (CPA);24,85;10,46;21,02;16,28;35,71;52,47;;43,18;44,74;30,61;;11,64;;22,32;
Gewinn;10,42;43,96;5,26;32,32;-14,22;4,69;-53,14;-21,69;-22,90;-9,12;-23,76;51,60;-38,46;-1,51;-6,79
Breakeven (CPA);35,27;32,43;23,65;32,43;21,49;57,16;;21,49;21,84;21,49;;28,84;;21,57;
Salespage Besucher;56;39;103;75;65;83;110;70;68;84;70;;;72;
Salespage Conversion;1,79%;5,13%;1,94%;2,67%;1,54%;1,20%;0,00%;1,43%;1,47%;1,19%;0,00%;;;2,78%;
Checkout Aufrufe;11;4;3;10;6;9;8;7;3;19;3;10;7;72;
Checkout Conversion;9,09%;50,00%;66,67%;30,00%;16,67%;33,33%;0,00%;28,57%;33,33%;10,53%;33,33%;30,00%;0,00%;2,78%;
  (Kontrolle: Meta LPV);41;32;83;57;33;61;77;52;57;75;51;65;65;57;2
