Datum;27.08.26;28.08.26;29.08.26;30.08.26;31.08.26;01.09.26;02.09.26;03.09.26;04.09.26;05.09.26;06.09.26;07.09.26;08.09.26;09.09.26;10.09.26
Gelände-Schlüssel 27€;1;5;;1;;;;1;;1;1;;;4;
Audiotraining 17€;;;;;;;;;;;;;;;
Videoreihe 27€;;1;;;;;;1;;;;;;;
Upsell Gelände s.m. 99€;;;;;;;;;;;;;;;
Upsell Kopfkino 97€;;;;;;;;;;;;;;;
Upsell Handarbeit 197€;;;;;;;;;;;;;;;
Upsell Offenstallplaner 47€;;;;;;;;;;;;;;;
Bruttoumsatz;27,00;162,00;;27,00;;;;54,00;;27,00;27,00;;;108,00;
Verdienst;21,49;130,47;;21,49;;;;43,38;;21,65;21,49;;;90,25;
Gesamtumsatz organisch;27,00;;;;27,00;;;;;27,00;;;;;
Adspend;25,12;34,28;34,88;40,48;24,63;0,00;18,59;58,79;54,84;47,03;40,63;10,20;26,25;38,49;5,12
ROAS;1,07;4,73;0,00;0,67;0,00;;0,00;0,92;0,00;0,57;0,66;0,00;0,00;2,81;0,00
Warenkorb brutto;27,00;32,40;;27,00;;;;54,00;;27,00;27,00;;;27,00;
Einkaufspreis (CPA);25,12;6,86;;40,48;;;;58,79;;47,03;40,63;;;9,62;
Gewinn;-3,63;96,19;-34,88;-18,99;-24,63;;-18,59;-15,41;-54,84;-25,38;-19,14;-10,20;-26,25;51,76;-5,12
Breakeven (CPA);21,49;26,09;;21,49;;;;43,38;;21,65;21,49;;;22,56;
Salespage Besucher;57;67;74;64;;;;;;;;;;;
Salespage Conversion;1,75%;7,46%;0,00%;1,56%;;;;;;;;;;;
Checkout Aufrufe;6;7;2;3;3;0;2;4;7;4;8;1;3;4;
Checkout Conversion;33,33%;71,43%;0,00%;33,33%;33,33%;;0,00%;25,00%;0,00%;50,00%;12,50%;0,00%;0,00%;25,00%;
  (Kontrolle: Meta LPV);37;45;51;48;38;;8;80;148;77;64;11;48;79;5
