Datum;14.07.26;15.07.26;16.07.26;17.07.26;18.07.26;19.07.26;20.07.26;21.07.26
Gelände-Schlüssel 27€;4;2;1;;7;5;5;
Audiotraining 17€;;;;;2;;;
Videoreihe 27€;1;;;;2;1;1;
Upsell Gelände s.m. 99€;;;;;;1;;
Bruttoumsatz;135,00;54,00;27,00;;277,00;261,00;162,00;
Verdienst;108,28;42,80;21,49;;223,19;214,23;138,74;
Gesamtumsatz organisch;;;;;;27,00;27,00;81,00
Adspend;62,66;61,50;60,91;57,41;111,13;84,61;85,87;83,91
ROAS;2,15;0,88;0,44;0,00;2,49;3,08;1,89;0,00
Warenkorb brutto;33,75;27,00;27,00;;39,57;52,20;32,40;
Einkaufspreis (CPA);15,66;30,75;60,91;;15,88;16,92;17,17;
Gewinn;45,62;-18,70;-39,42;-57,41;112,06;129,62;52,87;-83,91
Breakeven (CPA);27,07;21,40;21,49;;31,88;42,85;27,75;
Salespage Besucher;44;52;52;72;77;48;61;57
Salespage Conversion;9,09%;3,85%;1,92%;0,00%;9,09%;10,42%;8,20%;0,00%
  (Kontrolle: Meta LPV);19;37;18;28;34;37;40;39
