Datum;19.08.26;20.08.26;21.08.26;22.08.26;23.08.26;24.08.26;25.08.26;26.08.26;27.08.26;28.08.26;29.08.26;30.08.26;31.08.26;01.09.26;02.09.26
Gelände-Schlüssel 27€;;2;;2;1;;4;3;1;5;;1;;;
Audiotraining 17€;;;;;;;;;;;;;;;
Videoreihe 27€;;;;;1;;2;;;1;;;;;
Upsell Gelände s.m. 99€;;;;;;;;;;;;;;;
Upsell Kopfkino 97€;;;;;;;;;;;;;;;
Upsell Handarbeit 197€;;;;;;;;;;;;;;;
Upsell Offenstallplaner 47€;;;;;;;;;;;;;;;
Bruttoumsatz;;54,00;;54,00;54,00;;162,00;81,00;27,00;162,00;;27,00;;;
Verdienst;;42,99;;42,80;43,38;;131,31;64,64;21,49;130,47;;21,49;;;
Gesamtumsatz organisch;;;;;;27,00;;27,00;27,00;;;;27,00;;
Adspend;34,49;31,46;27,67;26,16;32,95;30,94;31,51;26,95;25,12;34,28;34,88;40,48;24,63;0,00;0,00
ROAS;0,00;1,72;0,00;2,06;1,64;0,00;5,14;3,01;1,07;4,73;0,00;0,67;0,00;;
Warenkorb brutto;;27,00;;27,00;54,00;;40,50;27,00;27,00;32,40;;27,00;;;
Einkaufspreis (CPA);;15,73;;13,08;32,95;;7,88;8,98;25,12;6,86;;40,48;;;
Gewinn;-34,49;11,53;-27,67;16,64;10,43;-30,94;99,80;37,69;-3,63;96,19;-34,88;-18,99;-24,63;;
Breakeven (CPA);;21,49;;21,40;43,38;;32,83;21,55;21,49;26,09;;21,49;;;
Salespage Besucher;65;57;66;70;62;99;75;56;57;67;74;64;;;
Salespage Conversion;0,00%;3,51%;0,00%;2,86%;1,61%;0,00%;5,33%;5,36%;1,75%;7,46%;0,00%;1,56%;;;
  (Kontrolle: Meta LPV);45;33;41;45;34;58;45;34;37;45;51;48;38;;
