Datum;31.08.26;01.09.26;02.09.26;03.09.26;04.09.26;05.09.26;06.09.26;07.09.26;08.09.26;09.09.26;10.09.26;11.09.26;12.09.26;13.09.26;14.09.26
Gelände-Schlüssel 27€;;;;1;;1;1;;;4;2;1;2;2;
Audiotraining 17€;;;;;;;;;;;;1;;;
Videoreihe 27€;;;;1;;;;;;;1;;1;;
Upsell Gelände s.m. 99€;;;;;;;;;;;;;;;
Upsell Kopfkino 97€;;;;;;;;;;;;;;;
Upsell Handarbeit 197€;;;;;;;;;;;;;;;
Upsell Offenstallplaner 47€;;;;;;;;;;;;;;;
Bruttoumsatz;;;;54,00;;27,00;27,00;;;108,00;81,00;44,00;81,00;54,00;
Verdienst;;;;43,38;;21,65;21,49;;;90,25;65,26;35,27;64,87;47,30;
Gesamtumsatz organisch;27,00;;;;;27,00;;;;;27,00;;;;
Adspend;24,63;0,00;18,59;58,79;54,84;47,03;40,63;10,20;26,25;38,53;24,47;24,85;20,91;41,86;8,26
ROAS;0,00;;0,00;0,92;0,00;0,57;0,66;0,00;0,00;2,80;3,31;1,77;3,87;1,29;0,00
Warenkorb brutto;;;;54,00;;27,00;27,00;;;27,00;40,50;44,00;40,50;27,00;
Einkaufspreis (CPA);;;;58,79;;47,03;40,63;;;9,63;12,24;24,85;10,46;20,93;
Gewinn;-24,63;;-18,59;-15,41;-54,84;-25,38;-19,14;-10,20;-26,25;51,72;40,79;10,42;43,96;5,44;-8,26
Breakeven (CPA);;;;43,38;;21,65;21,49;;;22,56;32,63;35,27;32,43;23,65;
Salespage Besucher;57;;;;;;;;;;;;;;
Salespage Conversion;0,00%;;;;;;;;;;;;;;
Checkout Aufrufe;3;0;2;4;7;4;8;1;3;15;10;11;4;3;0
Checkout Conversion;33,33%;;0,00%;25,00%;0,00%;50,00%;12,50%;0,00%;0,00%;26,67%;30,00%;9,09%;50,00%;66,67%;
  (Kontrolle: Meta LPV);38;;8;80;148;77;64;11;48;79;39;41;32;83;11
