Datum;25.07.26;26.07.26;27.07.26;28.07.26;29.07.26;30.07.26;31.07.26;01.08.26;02.08.26;03.08.26;04.08.26;05.08.26;06.08.26;07.08.26;08.08.26
Gelände-Schlüssel 27€;5;7;6;3;4;2;2;5;3;3;3;3;3;3;1
Audiotraining 17€;1;;;;1;;;;;;1;;;;
Videoreihe 27€;;1;1;;2;1;;;;;2;1;1;;
Upsell Gelände s.m. 99€;;;2;;;;;;1;;;;;;
Upsell Kopfkino 97€;;;1;;;;;;;;;;;;
Upsell Handarbeit 197€;;;;;;;;;;;;;;;
Upsell Offenstallplaner 47€;;;;;;;;;;;;;;;
Bruttoumsatz;152,00;216,00;484,00;81,00;179,00;81,00;54,00;135,00;180,00;81,00;152,00;108,00;108,00;81,00;27,00
Verdienst;121,02;178,11;391,58;64,83;143,87;65,48;42,99;107,62;164,83;64,83;122,64;86,36;90,67;65,17;21,49
Gesamtumsatz organisch;27,00;54,00;27,00;;27,00;27,00;;27,00;;;;54,00;27,00;;27,00
Adspend;58,11;80,68;89,49;91,78;79,40;163,32;122,84;48,79;72,56;55,77;56,75;70,09;98,75;97,50;68,72
ROAS;2,62;2,68;5,41;0,88;2,25;0,50;0,44;2,77;2,48;1,45;2,68;1,54;1,09;0,83;0,39
Warenkorb brutto;30,40;30,86;80,67;27,00;44,75;40,50;27,00;27,00;60,00;27,00;50,67;36,00;36,00;27,00;27,00
Einkaufspreis (CPA);11,62;11,53;14,92;30,59;19,85;81,66;61,42;9,76;24,19;18,59;18,92;23,36;32,92;32,50;68,72
Gewinn;62,91;97,43;302,09;-26,95;64,47;-97,84;-79,85;58,83;92,27;9,06;65,89;16,27;-8,08;-32,33;-47,23
Breakeven (CPA);24,20;25,44;65,26;21,61;35,97;32,74;21,49;21,52;54,94;21,61;40,88;28,79;30,22;21,72;21,49
Salespage Besucher;214;363;405;454;363;232;270;218;283;;;;;;
Salespage Conversion;2,34%;1,93%;1,48%;0,66%;1,10%;0,86%;0,74%;2,29%;1,06%;;;;;;
  (Kontrolle: Meta LPV);141;265;235;284;237;156;194;137;175;120;129;117;135;134;70
