Datum;28.08.26;29.08.26;30.08.26;31.08.26;01.09.26;02.09.26;03.09.26;04.09.26;05.09.26;06.09.26;07.09.26;08.09.26;09.09.26;10.09.26;11.09.26
Gelände-Schlüssel 27€;5;;1;;;;1;;1;1;;;4;2;
Audiotraining 17€;;;;;;;;;;;;;;;
Videoreihe 27€;1;;;;;;1;;;;;;;1;
Upsell Gelände s.m. 99€;;;;;;;;;;;;;;;
Upsell Kopfkino 97€;;;;;;;;;;;;;;;
Upsell Handarbeit 197€;;;;;;;;;;;;;;;
Upsell Offenstallplaner 47€;;;;;;;;;;;;;;;
Bruttoumsatz;162,00;;27,00;;;;54,00;;27,00;27,00;;;108,00;81,00;
Verdienst;130,47;;21,49;;;;43,38;;21,65;21,49;;;90,25;65,26;
Gesamtumsatz organisch;;;;27,00;;;;;27,00;;;;;27,00;
Adspend;34,28;34,88;40,48;24,63;0,00;18,59;58,79;54,84;47,03;40,63;10,20;26,25;38,53;24,41;4,50
ROAS;4,73;0,00;0,67;0,00;;0,00;0,92;0,00;0,57;0,66;0,00;0,00;2,80;3,32;0,00
Warenkorb brutto;32,40;;27,00;;;;54,00;;27,00;27,00;;;27,00;40,50;
Einkaufspreis (CPA);6,86;;40,48;;;;58,79;;47,03;40,63;;;9,63;12,20;
Gewinn;96,19;-34,88;-18,99;-24,63;;-18,59;-15,41;-54,84;-25,38;-19,14;-10,20;-26,25;51,72;40,85;-4,50
Breakeven (CPA);26,09;;21,49;;;;43,38;;21,65;21,49;;;22,56;32,63;
Salespage Besucher;67;74;64;57;;;;;;;;;;;
Salespage Conversion;7,46%;0,00%;1,56%;0,00%;;;;;;;;;;;
Checkout Aufrufe;7;2;3;3;0;2;4;7;4;8;1;3;15;10;2
Checkout Conversion;71,43%;0,00%;33,33%;33,33%;;0,00%;25,00%;0,00%;50,00%;12,50%;0,00%;0,00%;26,67%;30,00%;0,00%
  (Kontrolle: Meta LPV);45;51;48;38;;8;80;148;77;64;11;48;79;39;10
