Datum;10.07.26;11.07.26;12.07.26;13.07.26;14.07.26;15.07.26;16.07.26;17.07.26;18.07.26
Gelände-Schlüssel 27€;3;5;4;;4;2;1;;3
Audiotraining 17€;;1;;;;;;;2
Videoreihe 27€;;2;1;;1;;;;2
Upsell Gelände s.m. 99€;;1;;;;;;;
Bruttoumsatz;81,00;305,00;135,00;;135,00;54,00;27,00;;169,00
Verdienst;69,14;245,10;121,71;;108,28;42,80;21,49;;136,87
(netto abzgl. Gebühren);;;;;;;;;
Adspend;65,52;107,28;86,53;66,00;62,66;61,50;60,91;57,41;75,12
ROAS;1,24;2,84;1,56;0,00;2,15;0,88;0,44;0,00;2,25
Warenkorb brutto;27,00;61,00;33,75;;33,75;27,00;27,00;;56,33
Einkaufspreis (CPA);21,84;21,46;21,63;;15,66;30,75;60,91;;25,04
Gewinn;3,62;137,82;35,18;-66,00;45,62;-18,70;-39,42;-57,41;61,75
Breakeven (CPA);23,05;49,02;30,43;;27,07;21,40;21,49;;45,62
Salespage Besucher;40;72;77;51;44;52;52;29;
Salespage Conversion;7,50%;6,94%;5,19%;0,00%;9,09%;3,85%;1,92%;0,00%;
  (Kontrolle: Meta LPV);16;51;56;28;19;37;18;28;22
