Datum;04.08.26;05.08.26;06.08.26;07.08.26;08.08.26;09.08.26;10.08.26;11.08.26;12.08.26;13.08.26;14.08.26;15.08.26;16.08.26;17.08.26;18.08.26
Gelände-Schlüssel 27€;3;3;3;3;1;3;;3;;;6;2;3;2;
Audiotraining 17€;1;;;;;;;;;;;;;;
Videoreihe 27€;2;1;1;;;;;1;;;;;;;
Upsell Gelände s.m. 99€;;;;;;;;;;;;;;;
Upsell Kopfkino 97€;;;;;;;;;;;;;;;
Upsell Handarbeit 197€;;;;;;;;;;;;;;;
Upsell Offenstallplaner 47€;;;;;;;;;;;;;;;
Bruttoumsatz;152,00;108,00;108,00;81,00;27,00;81,00;;108,00;;;162,00;54,00;81,00;54,00;
Verdienst;122,64;86,36;90,67;65,17;21,49;68,92;;90,48;;;133,61;47,30;64,48;42,99;
Gesamtumsatz organisch;;54,00;27,00;;27,00;;;27,00;27,00;108,00;27,00;27,00;;;
Adspend;56,75;48,66;48,63;48,58;45,15;57,65;48,38;46,16;43,26;49,96;48,95;44,09;59,41;56,09;9,53
ROAS;2,68;2,22;2,22;1,67;0,60;1,41;0,00;2,34;0,00;0,00;3,31;1,22;1,36;0,96;0,00
Warenkorb brutto;50,67;36,00;36,00;27,00;27,00;27,00;;36,00;;;27,00;27,00;27,00;27,00;
Einkaufspreis (CPA);18,92;16,22;16,21;16,19;45,15;19,22;;15,39;;;8,16;22,04;19,80;28,04;
Gewinn;65,89;37,70;42,04;16,59;-23,66;11,27;-48,38;44,32;-43,26;-49,96;84,66;3,21;5,07;-13,10;-9,53
Breakeven (CPA);40,88;28,79;30,22;21,72;21,49;22,97;;30,16;;;22,27;23,65;21,49;21,49;
Salespage Besucher;232;171;179;182;140;;;;;;;;;;
Salespage Conversion;1,29%;1,75%;1,68%;1,65%;0,71%;;;;;;;;;;
  (Kontrolle: Meta LPV);129;110;111;105;93;108;94;85;88;79;83;64;97;69;13
