Datum;07.09.26;08.09.26;09.09.26;10.09.26;11.09.26;12.09.26;13.09.26;14.09.26;15.09.26;16.09.26;17.09.26;18.09.26;19.09.26;20.09.26;21.09.26
Gelände-Schlüssel 27€;;;4;2;1;2;2;2;1;1;;1;1;1;
Audiotraining 17€;;;;;1;;;;;1;;;;;
Videoreihe 27€;;;;1;;1;;1;;1;;;;;
Upsell Gelände s.m. 99€;;;;;;;;;;;;;;;
Upsell Kopfkino 97€;;;;;;;;;;;;;;;
Upsell Handarbeit 197€;;;;;;;;;;;;;;;
Upsell Offenstallplaner 47€;;;;;;;;;;;;;;;
Bruttoumsatz;;;108,00;81,00;44,00;81,00;54,00;81,00;27,00;71,00;;27,00;27,00;27,00;
Verdienst;;;90,25;65,26;35,27;64,87;47,30;64,87;21,49;57,16;;21,49;21,84;21,49;
Gesamtumsatz organisch;;;;27,00;;;;71,00;;98,00;;27,00;;27,00;
Adspend;10,20;26,25;38,53;24,47;24,85;20,91;42,04;32,55;35,71;52,47;53,14;43,18;44,74;30,60;5,10
ROAS;0,00;0,00;2,80;3,31;1,77;3,87;1,28;2,49;0,76;1,35;0,00;0,63;0,60;0,88;0,00
Warenkorb brutto;;;27,00;40,50;44,00;40,50;27,00;40,50;27,00;71,00;;27,00;27,00;27,00;
Einkaufspreis (CPA);;;9,63;12,24;24,85;10,46;21,02;16,28;35,71;52,47;;43,18;44,74;30,60;
Gewinn;-10,20;-26,25;51,72;40,79;10,42;43,96;5,26;32,32;-14,22;4,69;-53,14;-21,69;-22,90;-9,11;-5,10
Breakeven (CPA);;;22,56;32,63;35,27;32,43;23,65;32,43;21,49;57,16;;21,49;21,84;21,49;
Salespage Besucher;;;;;;;;;;;;;;;
Salespage Conversion;;;;;;;;;;;;;;;
Checkout Aufrufe;1;3;15;10;11;4;3;10;6;9;8;7;1;;
Checkout Conversion;0,00%;0,00%;26,67%;30,00%;9,09%;50,00%;66,67%;30,00%;16,67%;33,33%;0,00%;28,57%;0,00%;;
  (Kontrolle: Meta LPV);11;48;79;39;41;32;83;57;33;61;77;52;57;75;10
