Datum;09.07.26;10.07.26;11.07.26;12.07.26;13.07.26;14.07.26;15.07.26;16.07.26;17.07.26;18.07.26;19.07.26;20.07.26;21.07.26;22.07.26;23.07.26
Gelände-Schlüssel 27€;;3;5;4;;4;2;1;;7;5;5;;9;1
Audiotraining 17€;;;1;;;;;;;2;;;;1;
Videoreihe 27€;;;2;1;;1;;;;2;1;1;;1;
Upsell Gelände s.m. 99€;;;1;;;;;;;;1;;;;
Bruttoumsatz;;81,00;305,00;135,00;;135,00;54,00;27,00;;277,00;261,00;162,00;;287,00;27,00
Verdienst;;69,14;245,10;121,71;;108,28;42,80;21,49;;223,19;214,23;138,74;;243,16;21,49
Gesamtumsatz organisch;;;;;;;;;;;27,00;27,00;81,00;81,00;
Adspend;0,00;65,52;107,28;86,53;66,00;62,66;61,50;60,91;57,41;111,13;84,61;85,87;83,95;103,84;35,65
ROAS;;1,24;2,84;1,56;0,00;2,15;0,88;0,44;0,00;2,49;3,08;1,89;0,00;2,76;0,76
Warenkorb brutto;;27,00;61,00;33,75;;33,75;27,00;27,00;;39,57;52,20;32,40;;31,89;27,00
Einkaufspreis (CPA);;21,84;21,46;21,63;;15,66;30,75;60,91;;15,88;16,92;17,17;;11,54;35,65
Gewinn;;3,62;137,82;35,18;-66,00;45,62;-18,70;-39,42;-57,41;112,06;129,62;52,87;-83,95;139,32;-14,16
Breakeven (CPA);;23,05;49,02;30,43;;27,07;21,40;21,49;;31,88;42,85;27,75;;27,02;21,49
Salespage Besucher;;40;72;77;51;44;52;52;72;77;48;61;57;;
Salespage Conversion;;7,50%;6,94%;5,19%;0,00%;9,09%;3,85%;1,92%;0,00%;9,09%;10,42%;8,20%;0,00%;;
  (Kontrolle: Meta LPV);;16;51;56;28;19;37;18;28;34;37;40;39;84;30
