Datum;23.07.26;24.07.26;25.07.26;26.07.26;27.07.26;28.07.26;29.07.26;30.07.26;31.07.26;01.08.26;02.08.26;03.08.26;04.08.26;05.08.26;06.08.26
Gelände-Schlüssel 27€;2;5;5;7;6;3;4;2;2;5;3;3;3;3;
Audiotraining 17€;1;;1;;;;1;;;;;;1;;
Videoreihe 27€;1;;;1;1;;2;1;;;;;2;1;
Upsell Gelände s.m. 99€;;;;;2;;;;;;1;;;;
Upsell Kopfkino 97€;;;;;1;;;;;;;;;;
Upsell Handarbeit 197€;;;;;;;;;;;;;;;
Upsell Offenstallplaner 47€;;;;;;;;;;;;;;;
Bruttoumsatz;98,00;135,00;152,00;216,00;484,00;81,00;179,00;81,00;54,00;135,00;180,00;81,00;152,00;108,00;
Verdienst;78,93;107,62;121,02;178,11;391,58;64,83;143,87;65,48;42,99;107,62;164,83;64,83;122,64;86,36;
Gesamtumsatz organisch;27,00;27,00;27,00;54,00;27,00;;27,00;27,00;;27,00;;;;54,00;
Adspend;88,83;28,15;58,11;80,68;89,49;91,78;79,40;163,32;122,84;48,79;72,56;55,77;56,73;69,88;12,02
ROAS;1,10;4,80;2,62;2,68;5,41;0,88;2,25;0,50;0,44;2,77;2,48;1,45;2,68;1,55;0,00
Warenkorb brutto;49,00;27,00;30,40;30,86;80,67;27,00;44,75;40,50;27,00;27,00;60,00;27,00;50,67;36,00;
Einkaufspreis (CPA);44,42;5,63;11,62;11,53;14,92;30,59;19,85;81,66;61,42;9,76;24,19;18,59;18,91;23,29;
Gewinn;-9,90;79,47;62,91;97,43;302,09;-26,95;64,47;-97,84;-79,85;58,83;92,27;9,06;65,91;16,48;-12,02
Breakeven (CPA);39,47;21,52;24,20;25,44;65,26;21,61;35,97;32,74;21,49;21,52;54,94;21,61;40,88;28,79;
Salespage Besucher;141;113;214;363;405;454;363;232;270;218;283;;;;
Salespage Conversion;1,42%;4,42%;2,34%;1,93%;1,48%;0,66%;1,10%;0,86%;0,74%;2,29%;1,06%;;;;
  (Kontrolle: Meta LPV);82;72;141;265;235;284;237;156;194;137;175;120;129;117;19
