Datum;09.08.26;10.08.26;11.08.26;12.08.26;13.08.26;14.08.26;15.08.26;16.08.26;17.08.26;18.08.26;19.08.26;20.08.26;21.08.26;22.08.26;23.08.26
Gelände-Schlüssel 27€;3;;3;;;6;2;3;2;1;;2;;2;
Audiotraining 17€;;;;;;;;;;;;;;;
Videoreihe 27€;;;1;;;;;;;;;;;;
Upsell Gelände s.m. 99€;;;;;;;;;;;;;;;
Upsell Kopfkino 97€;;;;;;;;;;;;;;;
Upsell Handarbeit 197€;;;;;;;;;;;;;;;
Upsell Offenstallplaner 47€;;;;;;;;;;;;;;;
Bruttoumsatz;81,00;;108,00;;;162,00;54,00;81,00;54,00;27,00;;54,00;;54,00;
Verdienst;68,92;;90,48;;;133,61;47,30;64,48;42,99;21,84;;42,99;;42,80;
Gesamtumsatz organisch;;;27,00;27,00;108,00;27,00;27,00;;;27,00;;;;;
Adspend;57,65;48,38;46,16;43,26;49,96;48,95;44,09;59,41;56,14;47,19;34,49;31,46;27,67;26,16;18,03
ROAS;1,41;0,00;2,34;0,00;0,00;3,31;1,22;1,36;0,96;0,57;0,00;1,72;0,00;2,06;0,00
Warenkorb brutto;27,00;;36,00;;;27,00;27,00;27,00;27,00;27,00;;27,00;;27,00;
Einkaufspreis (CPA);19,22;;15,39;;;8,16;22,04;19,80;28,07;47,19;;15,73;;13,08;
Gewinn;11,27;-48,38;44,32;-43,26;-49,96;84,66;3,21;5,07;-13,15;-25,35;-34,49;11,53;-27,67;16,64;-18,03
Breakeven (CPA);22,97;;30,16;;;22,27;23,65;21,49;21,49;21,84;;21,49;;21,40;
Salespage Besucher;;;;;;;;;;;;;;;
Salespage Conversion;;;;;;;;;;;;;;;
  (Kontrolle: Meta LPV);108;94;85;88;79;83;64;97;69;77;45;33;41;45;17
