Datum;14.07.26;15.07.26;16.07.26;17.07.26;18.07.26;19.07.26;20.07.26;21.07.26;22.07.26;23.07.26;24.07.26;25.07.26;26.07.26;27.07.26;28.07.26
Gelände-Schlüssel 27€;4;2;1;;7;5;5;;9;2;5;5;7;6;1
Audiotraining 17€;;;;;2;;;;1;1;;1;;;
Videoreihe 27€;1;;;;2;1;1;;1;1;;;1;1;
Upsell Gelände s.m. 99€;;;;;;1;;;;;;;;2;
Bruttoumsatz;135,00;54,00;27,00;;277,00;261,00;162,00;;287,00;98,00;135,00;152,00;216,00;387,00;27,00
Verdienst;108,28;42,80;21,49;;223,19;214,23;138,74;;243,16;78,93;107,62;121,02;178,11;312,97;21,84
Gesamtumsatz organisch;;;;;;27,00;27,00;81,00;81,00;27,00;27,00;27,00;54,00;27,00;
Adspend;62,66;61,50;60,91;57,41;111,13;84,61;85,87;83,95;104,02;88,83;28,15;58,11;80,64;89,43;32,12
ROAS;2,15;0,88;0,44;0,00;2,49;3,08;1,89;0,00;2,76;1,10;4,80;2,62;2,68;4,33;0,84
Warenkorb brutto;33,75;27,00;27,00;;39,57;52,20;32,40;;31,89;49,00;27,00;30,40;30,86;64,50;27,00
Einkaufspreis (CPA);15,66;30,75;60,91;;15,88;16,92;17,17;;11,56;44,42;5,63;11,62;11,52;14,90;32,12
Gewinn;45,62;-18,70;-39,42;-57,41;112,06;129,62;52,87;-83,95;139,14;-9,90;79,47;62,91;97,47;223,54;-10,28
Breakeven (CPA);27,07;21,40;21,49;;31,88;42,85;27,75;;27,02;39,47;21,52;24,20;25,44;52,16;21,84
Salespage Besucher;44;52;52;72;77;48;61;57;;;;;;;
Salespage Conversion;9,09%;3,85%;1,92%;0,00%;9,09%;10,42%;8,20%;0,00%;;;;;;;
  (Kontrolle: Meta LPV);19;37;18;28;34;37;40;39;84;82;72;141;265;235;69
