Datum;11.08.26;12.08.26;13.08.26;14.08.26;15.08.26;16.08.26;17.08.26;18.08.26;19.08.26;20.08.26;21.08.26;22.08.26;23.08.26;24.08.26;25.08.26
Gelände-Schlüssel 27€;3;;;6;2;3;2;1;;2;;2;1;;1
Audiotraining 17€;;;;;;;;;;;;;;;
Videoreihe 27€;1;;;;;;;;;;;;1;;1
Upsell Gelände s.m. 99€;;;;;;;;;;;;;;;
Upsell Kopfkino 97€;;;;;;;;;;;;;;;
Upsell Handarbeit 197€;;;;;;;;;;;;;;;
Upsell Offenstallplaner 47€;;;;;;;;;;;;;;;
Bruttoumsatz;108,00;;;162,00;54,00;81,00;54,00;27,00;;54,00;;54,00;54,00;;54,00
Verdienst;90,48;;;133,61;47,30;64,48;42,99;21,84;;42,99;;42,80;43,38;;43,99
Gesamtumsatz organisch;27,00;27,00;108,00;27,00;27,00;;;27,00;;;;;;27,00;
Adspend;46,16;43,26;49,96;48,95;44,09;59,41;56,14;47,19;34,49;31,46;27,67;26,16;32,95;30,71;4,49
ROAS;2,34;0,00;0,00;3,31;1,22;1,36;0,96;0,57;0,00;1,72;0,00;2,06;1,64;0,00;12,03
Warenkorb brutto;36,00;;;27,00;27,00;27,00;27,00;27,00;;27,00;;27,00;54,00;;54,00
Einkaufspreis (CPA);15,39;;;8,16;22,04;19,80;28,07;47,19;;15,73;;13,08;32,95;;4,49
Gewinn;44,32;-43,26;-49,96;84,66;3,21;5,07;-13,15;-25,35;-34,49;11,53;-27,67;16,64;10,43;-30,71;39,50
Breakeven (CPA);30,16;;;22,27;23,65;21,49;21,49;21,84;;21,49;;21,40;43,38;;43,99
Salespage Besucher;132;128;128;100;101;135;121;102;65;57;66;70;62;;
Salespage Conversion;2,27%;0,00%;0,00%;6,00%;1,98%;2,22%;1,65%;0,98%;0,00%;3,51%;0,00%;2,86%;1,61%;;
  (Kontrolle: Meta LPV);85;88;79;83;64;97;69;77;45;33;41;45;34;58;4
