Datum;14.08.26;15.08.26;16.08.26;17.08.26;18.08.26;19.08.26;20.08.26;21.08.26;22.08.26;23.08.26;24.08.26;25.08.26;26.08.26;27.08.26;28.08.26
Gelände-Schlüssel 27€;6;2;3;2;1;;2;;2;1;;4;3;1;1
Audiotraining 17€;;;;;;;;;;;;;;;
Videoreihe 27€;;;;;;;;;;1;;2;;;1
Upsell Gelände s.m. 99€;;;;;;;;;;;;;;;
Upsell Kopfkino 97€;;;;;;;;;;;;;;;
Upsell Handarbeit 197€;;;;;;;;;;;;;;;
Upsell Offenstallplaner 47€;;;;;;;;;;;;;;;
Bruttoumsatz;162,00;54,00;81,00;54,00;27,00;;54,00;;54,00;54,00;;162,00;81,00;27,00;54,00
Verdienst;133,61;47,30;64,48;42,99;21,84;;42,99;;42,80;43,38;;131,31;64,64;21,49;43,99
Gesamtumsatz organisch;27,00;27,00;;;27,00;;;;;;27,00;;27,00;27,00;
Adspend;48,95;44,09;59,41;56,14;47,19;34,49;31,46;27,67;26,16;32,95;30,94;31,51;26,95;25,04;6,71
ROAS;3,31;1,22;1,36;0,96;0,57;0,00;1,72;0,00;2,06;1,64;0,00;5,14;3,01;1,08;8,05
Warenkorb brutto;27,00;27,00;27,00;27,00;27,00;;27,00;;27,00;54,00;;40,50;27,00;27,00;54,00
Einkaufspreis (CPA);8,16;22,04;19,80;28,07;47,19;;15,73;;13,08;32,95;;7,88;8,98;25,04;6,71
Gewinn;84,66;3,21;5,07;-13,15;-25,35;-34,49;11,53;-27,67;16,64;10,43;-30,94;99,80;37,69;-3,55;37,28
Breakeven (CPA);22,27;23,65;21,49;21,49;21,84;;21,49;;21,40;43,38;;32,83;21,55;21,49;43,99
Salespage Besucher;100;101;135;121;102;65;57;66;70;62;;;;;
Salespage Conversion;6,00%;1,98%;2,22%;1,65%;0,98%;0,00%;3,51%;0,00%;2,86%;1,61%;;;;;
  (Kontrolle: Meta LPV);83;64;97;69;77;45;33;41;45;34;58;45;34;37;8
